structure_id,conf_symbol,mixing_energy_pa,Al,Nb
ICET-Training-No-01415,Al2Nb3,-0.24343727799999998,0.4,0.6
ICET-Training-No-01436,Al2Nb3,-0.24409610599999998,0.4,0.6
ICET-Training-No-01444,AlNb4,-0.103681756,0.2,0.8
ICET-Training-No-01775,Al4Nb,-0.042826926,0.8,0.2
ICET-Training-No-01778,Al3Nb2,-0.296842586,0.6,0.4
ICET-Training-No-01784,Al3Nb2,-0.242771422,0.6,0.4
ICET-Training-No-01787,Al2Nb3,-0.153576508,0.4,0.6
ICET-Training-No-01808,Al2Nb3,-0.227256486,0.4,0.6
ICET-Training-No-01816,AlNb4,-0.15550296800000002,0.2,0.8
ICET-Training-No-02031,Al4Nb,-0.305675382,0.8,0.2
ICET-Training-No-02034,Al3Nb2,-0.34798071799999997,0.6,0.4
ICET-Training-No-02040,Al2Nb3,-0.27216857,0.4,0.6
ICET-Training-No-02058,AlNb4,-0.06862613199999999,0.2,0.8
