structure_id,conf_symbol,mixing_energy_pa,Ti,Al,Nb
ICET-Training-No-13101,Al2Nb2Ti2,-0.23477346833333357,0.3333,0.3333,0.3333
ICET-Training-No-13102,Al2Nb3Ti,-0.1836484383333333,0.1667,0.3333,0.5
ICET-Training-No-13113,Al2Nb2Ti2,-0.399055088333333,0.3333,0.3333,0.3333
ICET-Training-No-13116,AlNb2Ti3,-0.16970626166666727,0.5,0.1667,0.3333
ICET-Training-No-13119,AlNb2Ti3,-0.2044865799999999,0.5,0.1667,0.3333
ICET-Training-No-13120,AlNb3Ti2,-0.1600459266666666,0.3333,0.1667,0.5
ICET-Training-No-13131,Al2Nb3Ti,-0.31862674999999996,0.1667,0.3333,0.5
ICET-Training-No-13134,AlNb3Ti2,-0.12486847166666593,0.3333,0.1667,0.5
ICET-Training-No-13137,AlNb3Ti2,-0.18244346999999905,0.3333,0.1667,0.5
ICET-Training-No-13138,AlNb4Ti,-0.14459186833333368,0.1667,0.1667,0.6667
ICET-Training-No-13341,Al2Nb3Ti,-0.290278435,0.1667,0.3333,0.5
ICET-Training-No-13344,Al2Nb4,-0.22465093666666766,0.0,0.3333,0.6667
ICET-Training-No-13368,AlNb2Ti3,-0.1015271733333331,0.5,0.1667,0.3333
ICET-Training-No-13371,AlNb3Ti2,-0.11552361666666637,0.3333,0.1667,0.5
ICET-Training-No-13382,AlNb3Ti2,-0.05586899833333329,0.3333,0.1667,0.5
ICET-Training-No-13385,AlNb4Ti,-0.07757370999999935,0.1667,0.1667,0.6667
ICET-Training-No-13429,AlNb4Ti,-0.13130835833333285,0.1667,0.1667,0.6667
ICET-Training-No-13442,AlNb5,-0.10471485333333419,0.0,0.1667,0.8333
ICET-Training-No-13751,NbTi5,-0.016736763333333,0.8333,0.0,0.1667
ICET-Training-No-13754,Nb2Ti4,-0.027481673333333845,0.6667,0.0,0.3333
ICET-Training-No-13760,Nb2Ti4,-0.025242773333333208,0.6667,0.0,0.3333
ICET-Training-No-13763,Nb3Ti3,-0.015053943333332617,0.5,0.0,0.5
ICET-Training-No-13786,Nb3Ti3,-0.028173116666666925,0.5,0.0,0.5
ICET-Training-No-13797,Nb4Ti2,-0.019500926666667102,0.3333,0.0,0.6667
ICET-Training-No-13861,Nb4Ti2,0.005887653333333039,0.3333,0.0,0.6667
ICET-Training-No-13889,Nb5Ti,0.002081974999999403,0.1667,0.0,0.8333
ICET-Training-No-14155,Al5Ti,-0.2944527233333331,0.1667,0.8333,0.0
ICET-Training-No-14156,Al5Nb,-0.12720448833333306,0.0,0.8333,0.1667
ICET-Training-No-14159,Al4Ti2,-0.44028806166666595,0.3333,0.6667,0.0
ICET-Training-No-14160,Al4NbTi,-0.41723140166666656,0.1667,0.6667,0.1667
ICET-Training-No-14163,Al4Nb2,-0.14029946000000018,0.0,0.6667,0.3333
ICET-Training-No-14170,Al4NbTi,-0.4736631116666672,0.1667,0.6667,0.1667
ICET-Training-No-14173,Al3Ti3,-0.4625280799999996,0.5,0.5,0.0
ICET-Training-No-14174,Al3NbTi2,-0.42608541166666686,0.3333,0.5,0.1667
ICET-Training-No-14178,Al3Nb2Ti,-0.38690238333333343,0.1667,0.5,0.3333
ICET-Training-No-14189,Al4Nb2,-0.40775288500000073,0.0,0.6667,0.3333
ICET-Training-No-14192,Al3Nb2Ti,-0.37670913499999986,0.1667,0.5,0.3333
ICET-Training-No-14195,Al3Nb3,-0.3221090433333333,0.0,0.5,0.5
ICET-Training-No-14222,Al3Ti3,-0.4519564566666669,0.5,0.5,0.0
ICET-Training-No-14238,Al3NbTi2,-0.4288104083333337,0.3333,0.5,0.1667
ICET-Training-No-14241,Al2Ti4,-0.2752759533333335,0.6667,0.3333,0.0
ICET-Training-No-14242,Al2NbTi3,-0.3688605383333344,0.5,0.3333,0.1667
ICET-Training-No-14245,Al2NbTi3,-0.363789005000001,0.5,0.3333,0.1667
ICET-Training-No-14246,Al2Nb2Ti2,-0.32042547666666604,0.3333,0.3333,0.3333
ICET-Training-No-14263,Al2Nb2Ti2,-0.3221345016666663,0.3333,0.3333,0.3333
ICET-Training-No-14264,Al2Nb3Ti,-0.2641651816666671,0.1667,0.3333,0.5
ICET-Training-No-14324,Al2Nb2Ti2,-0.3095776650000002,0.3333,0.3333,0.3333
ICET-Training-No-14340,Al2Nb4,-0.15856668666666707,0.0,0.3333,0.6667
ICET-Training-No-14450,Al2Nb3Ti,-0.25511995833333384,0.1667,0.3333,0.5
ICET-Training-No-14477,Al2Nb2Ti2,-0.27531684666666695,0.3333,0.3333,0.3333
ICET-Training-No-14486,AlTi5,-0.2625701033333326,0.8333,0.1667,0.0
ICET-Training-No-14487,AlNbTi4,-0.23327720999999949,0.6667,0.1667,0.1667
ICET-Training-No-14490,AlNbTi4,-0.22788939666666627,0.6667,0.1667,0.1667
ICET-Training-No-14509,AlNb2Ti3,-0.20108726666666735,0.5,0.1667,0.3333
ICET-Training-No-14510,AlNb3Ti2,-0.15379400499999937,0.3333,0.1667,0.5
ICET-Training-No-14562,Al2Nb3Ti,-0.23724542833333354,0.1667,0.3333,0.5
ICET-Training-No-14579,AlNb2Ti3,-0.1499317100000006,0.5,0.1667,0.3333
ICET-Training-No-14580,AlNb3Ti2,-0.11205862999999994,0.3333,0.1667,0.5
