x,y,gamma
0.53333,0.7,0.02861
0.56667,0.7,0.02903
0.6,0.7,0.02926
0.63333,0.7,0.02936
0.66667,0.7,0.02936
0.7,0.7,0.02926
0.73333,0.7,0.02903
0.76667,0.7,0.02861
0.8,0.7,0.02791
0.83333,0.7,0.02686
0.86667,0.7,0.02543
0.9,0.7,0.02367
0.93333,0.7,0.02165
0.96667,0.7,0.01945
0.0,0.73333,0.01503
0.03333,0.73333,0.01316
0.06667,0.73333,0.01191
0.1,0.73333,0.01124
0.13333,0.73333,0.01104
0.16667,0.73333,0.01124
0.2,0.73333,0.01191
0.23333,0.73333,0.01316
0.26667,0.73333,0.01503
0.3,0.73333,0.01733
0.33333,0.73333,0.01969
0.36667,0.73333,0.02193
0.4,0.73333,0.02398
0.43333,0.73333,0.02572
0.46667,0.73333,0.02708
0.5,0.73333,0.02805
0.53333,0.73333,0.02866
0.56667,0.73333,0.02903
0.6,0.73333,0.02921
0.63333,0.73333,0.02927
0.66667,0.73333,0.02921
0.7,0.73333,0.02903
0.73333,0.73333,0.02866
0.76667,0.73333,0.02805
0.8,0.73333,0.02708
0.83333,0.73333,0.02572
0.86667,0.73333,0.02398
0.9,0.73333,0.02193
0.93333,0.73333,0.01969
0.96667,0.73333,0.01733
0.0,0.76667,0.01275
0.03333,0.76667,0.01107
0.06667,0.76667,0.01
0.1,0.76667,0.0095
0.13333,0.76667,0.0095
0.16667,0.76667,0.01
0.2,0.76667,0.01107
0.23333,0.76667,0.01275
0.26667,0.76667,0.01493
0.3,0.76667,0.01737
0.33333,0.76667,0.01978
0.36667,0.76667,0.02208
0.4,0.76667,0.02414
0.43333,0.76667,0.02585
0.46667,0.76667,0.02715
0.5,0.76667,0.02805
0.53333,0.76667,0.02861
0.56667,0.76667,0.02892
0.6,0.76667,0.02906
0.63333,0.76667,0.02906
0.66667,0.76667,0.02892
0.7,0.76667,0.02861
0.73333,0.76667,0.02805
0.76667,0.76667,0.02715
0.8,0.76667,0.02585
0.83333,0.76667,0.02414
0.86667,0.76667,0.02208
0.9,0.76667,0.01978
0.93333,0.76667,0.01737
0.96667,0.76667,0.01493
0.0,0.8,0.01034
0.03333,0.8,0.00884
0.06667,0.8,0.00794
0.1,0.8,0.00764
0.13333,0.8,0.00794
0.16667,0.8,0.00884
0.2,0.8,0.01034
0.23333,0.8,0.0124
0.26667,0.8,0.01483
0.3,0.8,0.01732
0.33333,0.8,0.01979
0.36667,0.8,0.02213
0.4,0.8,0.02419
0.43333,0.8,0.02585
0.46667,0.8,0.02708
0.5,0.8,0.02791
0.53333,0.8,0.02841
0.56667,0.8,0.02868
0.6,0.8,0.02876
0.63333,0.8,0.02868
0.66667,0.8,0.02841
0.7,0.8,0.02791
0.73333,0.8,0.02708
0.76667,0.8,0.02585
0.8,0.8,0.02419
0.83333,0.8,0.02213
0.86667,0.8,0.01979
0.9,0.8,0.01732
0.93333,0.8,0.01483
0.96667,0.8,0.0124
0.0,0.83333,0.00785
0.03333,0.83333,0.0065
0.06667,0.83333,0.0058
0.1,0.83333,0.0058
0.13333,0.83333,0.0065
0.16667,0.83333,0.00785
0.2,0.83333,0.00979
